sentence,onset,offset,duration
the flower replied sweetly,1555.307,1556.931,1.6240000000000236
please forgive me,1557.5149999999999,1558.365,0.8500000000001364
i do not fear tigers but i detest drafts,1559.277,1563.045,3.768000000000029
you would not happen to have a screen,1563.254,1565.078,1.8240000000000691
detests drafts,1565.846,1567.271,1.4249999999999545
that is bad luck for a plant,1567.5349999999999,1569.2489999999998,1.7139999999999418
remarked the little prince,1569.6129999999998,1570.783,1.1700000000000728
what a very complicated flower,1571.396,1573.116,1.7200000000000273
in the evening you will put me under a glass dome,1574.143,1577.148,3.0049999999998818
it is very cold where you live,1577.148,1579.031,1.8830000000000382
where i come from,1579.33,1580.725,1.3949999999999818
but she interrupted herself,1581.453,1582.933,1.4800000000000182
she had come in the form of a seed,1583.282,1585.257,1.9750000000001364
she could not have known anything of other worlds,1585.5369999999998,1587.7549999999999,2.2180000000000746
humiliated at having been caught out on a lie so naive she coughed two or three times to imply the little prince was in the wrong,1588.663,1597.115,8.451999999999998
the screen,1597.734,1598.4389999999999,0.7049999999999272
i was just going to look for it when you spoke to me,1599.302,1601.5259999999998,2.2239999999999327
then she forced a cough to inflict still more remorse,1602.379,1605.638,3.2590000000000146
