Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
7300,sept,sept,2710.54,2710.82,1.8200700349695509,ADJ,5,1,1,1
7301,cent,cent,2710.82,2711.04,1.7389390319956983,ADJ,5,1,1,1
7302,trente,trente,2711.04,2711.3500000000004,1.2944662283661337,ADJ,5,1,4,2
7303,et,et,2711.3500000000004,2711.5,4.110895292218618,CC,5,2,1,2
7304,un,un,2711.5,2711.6800000000003,4.10330930142218,DET,5,2,5,3
7305,je,je,2712.08,2712.25,4.414780879467412,CLS,5,3,1,2
7306,suis,suis,2712.25,2712.44,3.5752571417213,V,5,1,2,2
7307,sérieux,sérieux,2712.44,2712.8500000000004,2.035709838227875,ADJ,5,2,2,2
7308,moi,moi,2712.8500000000004,2713.1400000000003,3.567763687458981,PRO,5,2,4,3
7309,je,je,2713.42,2713.58,4.414780879467412,CLS,5,3,1,2
7310,suis,suis,2713.58,2713.83,3.5752571417213,V,5,1,2,2
7311,précis,précis,2713.83,2714.33,1.3226327137583247,ADJ,5,2,4,3
7312,et,et,2715.28,2715.3500000000004,4.110895292218618,CC,5,3,1,2
7313,que,que,2715.3500000000004,2715.5,3.6128791792035377,CS,5,2,1,2
7314,fais,fais,2715.5,2715.6400000000003,3.1433021519084705,V,5,2,1,2
7315,-tu,tu,2715.6400000000003,2715.8,4.166423896907322,CLS,5,1,2,2
7316,de,de,2715.8,2715.86,4.401761613355665,P,5,2,1,2
7317,ces,ces,2715.86,2716.2400000000002,3.0872524203277525,DET,5,2,1,2
7318,étoiles,étoiles,2716.2400000000002,2716.76,1.5190400399627952,NC,5,1,7,2
7319,ce,ce,2717.4100000000003,2717.58,3.900823035057866,PRO,5,3,2,3
7320,que,que,2717.63,2717.69,3.6128791792035377,CS,5,2,1,2
7321,j',j',2717.69,2717.7200000000003,-5.958607314841776,CLS,5,2,1,2
7322,en,en,2717.7200000000003,2717.9,3.9730807254758806,CLO,5,1,1,1
7323,fais,fais,2717.9,2718.19,3.1433021519084705,V,5,1,5,2
7324,oui,oui,2719.1200000000003,2719.34,3.506146354633202,ADV,5,2,1,2
7325,rien,rien,2720.26,2720.6800000000003,3.3768615274323657,NC,5,3,4,4
7326,je,je,2720.94,2720.96,4.414780879467412,CLS,5,3,1,2
7327,les,les,2720.96,2721.32,3.99830860799912,CLO,5,1,1,1
7328,possède,possède,2721.32,2721.9100000000003,1.2504200047487506,V,5,1,4,2
7329,tu,tu,2722.92,2723.08,4.166423896907322,CLS,5,3,1,2
7330,possèdes,possèdes,2723.08,2723.57,0.1583625222545876,V,5,1,2,2
7331,les,les,2723.57,2723.82,3.99830860799912,DET,5,2,1,2
7332,étoiles,étoiles,2723.82,2724.27,1.5190400399627952,NC,5,1,4,2
7333,oui,oui,2725.27,2725.5600000000004,3.506146354633202,ADV,5,2,1,2
7334,mais,mais,2726.6600000000003,2727.13,3.714371678047351,CC,5,3,1,2
7335,j',j',2727.13,2727.1600000000003,-5.958607314841776,CLS,5,2,1,2
7336,ai,ai,2727.1600000000003,2727.19,3.867931587226076,V,5,1,1,1
7337,déjà,déjà,2727.19,2727.4100000000003,2.8405639960614977,ADV,5,1,1,1
7338,vu,vu,2727.4100000000003,2727.4700000000003,2.978116578283524,VPP,5,1,2,2
7339,un,un,2727.4700000000003,2727.6800000000003,4.10330930142218,DET,5,2,1,2
7340,roi,roi,2727.6800000000003,2727.9300000000003,2.2224563369394588,NC,5,1,2,2
7341,qui,qui,2727.9300000000003,2728.36,3.7416651970487536,PROWH,5,2,5,3
7342,les,les,2728.6800000000003,2728.8100000000004,3.99830860799912,DET,5,3,1,2
7343,rois,rois,2728.8100000000004,2729.07,1.0488300904094443,NC,5,1,2,2
7344,ne,ne,2729.07,2729.21,4.125709901406003,ADV,5,2,1,2
7345,possèdent,possèdent,2729.21,2729.54,0.5145477659414627,V,5,1,2,2
7346,pas,pas,2729.58,2729.8100000000004,4.262811902599896,ADV,5,1,1,1
7347,ils,ils,2730.23,2730.42,3.4878550063914817,CLS,5,3,1,2
